rank,title,weekly amount(million USD)
1,Star Wars: The Last Jedi,71.5655
2,Jumanji: Welcome to the Jungle,36.1693
3,Pitch Perfect 3,19.9285
4,The Greatest Showman,8.80584
5,Ferdinand,7.31675
